"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Eccentricity","EdgeCount","id","id_original","Indegree","IsSingleNode","name","NeighborhoodConnectivity","Outdegree","PartnerOfMultiEdgedNodePairs","pos","selected","SelfLoops","shared name","shared_name","Stress","value","x","y"
"2.4637305699481864","1.0982353163797325","0.405888538380652","0.1976284584980237","6.0","26.0","2719","M_q8h2_c","18.0","false","M_q8h2_c","91.08695652173913","8.0","3.0","0.07772781|15.01762","false","0.0","M_q8h2_c","M_q8h2_c","6196172.0","M_q8h2_c",,
"2.344559585492228","3.007405235266566","0.42651933701657463","0.07188160676532769","6.0","47.0","2725","M_o2_c","3.0","false","M_o2_c","38.34090909090909","44.0","3.0","0.37829615|0.067","false","0.0","M_o2_c","M_o2_c","1.1736285E7","M_o2_c",,
"1.7137305699481866","143.70235148210602","0.583522297808012","0.010199501246882793","5.0","445.0","1810","M_h2o_c","129.0","false","M_h2o_c","13.034912718204488","316.0","44.0","0.32774768|-0.8247","false","0.0","M_h2o_c","M_h2o_c","4.59382418E8","M_h2o_c",,
"3.80699481865285","0.7814333231277127","0.26267437904048996","0.11904761904761904","7.0","7.0","1873","M_xu5p__D_c","4.0","false","M_xu5p__D_c","45.714285714285715","3.0","0.0","0.39023896|-3.8851","false","0.0","M_xu5p__D_c","M_xu5p__D_c","6396324.0","M_xu5p__D_c",,
"2.8639896373056994","1.156722932981844","0.3491632745364089","0.13333333333333333","6.0","10.0","3421","M_ru5p__D_c","3.0","false","M_ru5p__D_c","93.6","7.0","0.0","0.39023896|-3.8851","false","0.0","M_ru5p__D_c","M_ru5p__D_c","3060500.0","M_ru5p__D_c",,
"3.27720207253886","0.002564422414538484","0.30513833992094863","0.3","7.0","6.0","1894","M_13dpg_c","5.0","false","M_13dpg_c","133.6","1.0","1.0","0.47382196|-4.4355","false","0.0","M_13dpg_c","M_13dpg_c","20250.0","M_13dpg_c",,
"2.661917098445596","19.198234428742794","0.375669099756691","0.029622551361681796","6.0","96.0","1918","M_nadp_c","69.0","false","M_nadp_c","27.73913043478261","27.0","4.0","0.04124779|-5.20813","false","0.0","M_nadp_c","M_nadp_c","8.9000312E7","M_nadp_c",,
"2.2461139896373057","28.554705626203003","0.44521337946943484","0.027936507936507936","6.0","135.0","1909","M_nad_c","64.0","false","M_nad_c","26.373015873015873","71.0","9.0","0.04441887|-4.06113","false","0.0","M_nad_c","M_nad_c","8.2628898E7","M_nad_c",,
"4.181347150259067","0.021067998303922704","0.23915737298636927","0.0","8.0","3.0","3952","M_acon_C_c","2.0","false","M_acon_C_c","6.666666666666667","1.0","0.0","0.39315603|-4.4474","false","0.0","M_acon_C_c","M_acon_C_c","70682.0","M_acon_C_c",,
"3.185233160621762","0.08998946899338399","0.3139487596583977","0.23809523809523808","7.0","7.0","3238","M_icit_c","2.0","false","M_icit_c","90.85714285714286","5.0","0.0","0.45446006|-5.3967","false","0.0","M_icit_c","M_icit_c","297642.0","M_icit_c",,
"3.2253886010362693","1.6151798392675893","0.3100401606425703","0.07380952380952381","7.0","22.0","2944","M_ac_c","17.0","false","M_ac_c","55.61904761904762","5.0","1.0","0.34977402|-1.2438","false","0.0","M_ac_c","M_ac_c","6508613.0","M_ac_c",,
"3.873056994818653","0.0","0.2581939799331104","0.55","7.0","5.0","1888","M_actp_c","4.0","false","M_actp_c","152.8","1.0","0.0","0.40584252|-1.6218","false","0.0","M_actp_c","M_actp_c","0.0","M_actp_c",,
"2.860103626943005","0.9625215459708685","0.3496376811594203","0.16544117647058823","6.0","17.0","3295","M_acald_c","12.0","false","M_acald_c","84.11764705882354","5.0","0.0","0.35500761|0.2052","false","0.0","M_acald_c","M_acald_c","4993370.0","M_acald_c",,
"2.673575129533679","0.08380192522697316","0.374031007751938","0.4","6.0","5.0","2041","M_2pg_c","2.0","false","M_2pg_c","142.0","3.0","0.0","0.43795947|-4.0575","false","0.0","M_2pg_c","M_2pg_c","313722.0","M_2pg_c",,
"2.444300518134715","8.670683442817172","0.4091149973502915","0.07539682539682539","5.0","39.0","1867","M_pep_c","5.0","false","M_pep_c","48.388888888888886","34.0","3.0","0.25146388|-2.9047","false","0.0","M_pep_c","M_pep_c","4.012054E7","M_pep_c",,
"2.9158031088082903","0.055307646304233224","0.34295868502887605","0.30357142857142855","6.0","8.0","2464","M_3pg_c","3.0","false","M_3pg_c","146.875","5.0","0.0","0.43795947|-4.0575","false","0.0","M_3pg_c","M_3pg_c","256621.0","M_3pg_c",,
,,,,,,"255","M_akg_e",,,"M_akg_e",,,,,"false",,"M_akg_e","M_akg_e",,"M_akg_e","24.0","26.0"
"2.795336787564767","0.5859223746090558","0.3577386468952734","0.2222222222222222","6.0","21.0","2989","M_oaa_c","13.0","false","M_oaa_c","92.94444444444444","8.0","3.0","0.29066972|-3.5546","false","0.0","M_oaa_c","M_oaa_c","2671483.0","M_oaa_c",,
"2.848445595854922","4.402176187280343","0.351068667576171","0.050799086757990865","6.0","76.0","1828","M_co2_c","69.0","false","M_co2_c","37.986301369863014","7.0","3.0","0.36416713|-0.5835","false","0.0","M_co2_c","M_co2_c","1.9379066E7","M_co2_c",,
"2.7357512953367875","7.542966421518731","0.36553030303030304","0.06342780026990553","6.0","41.0","1864","M_accoa_c","8.0","false","M_accoa_c","50.12820512820513","33.0","2.0","0.040169|-3.2942","false","0.0","M_accoa_c","M_accoa_c","4.4236669E7","M_accoa_c",,
"2.72279792746114","5.859050598656282","0.36726926736441484","0.09973404255319149","6.0","53.0","1837","M_glu__L_c","32.0","false","M_glu__L_c","55.875","21.0","5.0","0.47374336|-2.0716","false","0.0","M_glu__L_c","M_glu__L_c","2.5524769E7","M_glu__L_c",,
"2.4132124352331608","8.612421338220296","0.4143853998926462","0.08022598870056497","6.0","66.0","1744","M_nh4_c","54.0","false","M_nh4_c","48.7","12.0","6.0","0.39321321|0.3762","false","0.0","M_nh4_c","M_nh4_c","3.3635613E7","M_nh4_c",,
"2.319948186528497","6.402031174564107","0.43104410943606924","0.05237341772151899","6.0","86.0","2899","M_nadph_c","26.0","false","M_nadph_c","34.4375","60.0","6.0","0.06384601|-4.61313","false","0.0","M_nadph_c","M_nadph_c","2.8917485E7","M_nadph_c",,
"2.7176165803108807","2.5871910073076436","0.3679694947569114","0.23809523809523808","5.0","24.0","2308","M_gln__L_c","4.0","false","M_gln__L_c","104.0909090909091","20.0","2.0","0.32267904|-0.28623","false","0.0","M_gln__L_c","M_gln__L_c","1.2534909E7","M_gln__L_c",,
"2.4792746113989637","0.6849457181797733","0.4033437826541275","0.2","6.0","12.0","2155","M_cit_c","7.0","false","M_cit_c","137.4","5.0","2.0","0.45490402|-5.2526","false","0.0","M_cit_c","M_cit_c","3241584.0","M_cit_c",,
"3.221502590673575","1.9849878430632464","0.3104141535987133","0.06213643574828133","7.0","67.0","1786","M_amp_c","60.0","false","M_amp_c","43.064516129032256","7.0","5.0","0.47443541|-3.127","false","0.0","M_amp_c","M_amp_c","1.5444028E7","M_amp_c",,
"2.6243523316062176","0.2672736507203742","0.3810463968410661","0.25","6.0","11.0","2326","M_6pgc_c","4.0","false","M_6pgc_c","121.66666666666667","7.0","2.0","0.32403513|-5.9748","false","0.0","M_6pgc_c","M_6pgc_c","1150148.0","M_6pgc_c",,
"2.928756476683938","0.03398303004737865","0.34144183989385224","0.25","6.0","4.0","3424","M_6pgl_c","2.0","false","M_6pgl_c","160.0","2.0","0.0","0.33592813|-4.1602","false","0.0","M_6pgl_c","M_6pgl_c","79990.0","M_6pgl_c",,
"2.873056994818653","1.2473012007383613","0.3480613165013526","0.18128654970760233","6.0","20.0","1777","M_for_c","13.0","false","M_for_c","95.84210526315789","7.0","1.0","0.30654732|-1.6339","false","0.0","M_for_c","M_for_c","4600333.0","M_for_c",,
"1.7927461139896372","54.6127047780699","0.5578034682080925","0.01778601204261232","5.0","260.0","1855","M_atp_c","7.0","false","M_atp_c","17.12549019607843","253.0","5.0","0.28787964|-4.157","false","0.0","M_atp_c","M_atp_c","2.43342355E8","M_atp_c",,
