"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Eccentricity","EdgeCount","id","id_original","Indegree","IsSingleNode","name","NeighborhoodConnectivity","Outdegree","PartnerOfMultiEdgedNodePairs","pos","selected","SelfLoops","shared name","shared_name","Stress","value"
"3.3285899094437257","0.0","0.3004275165176836","0.0","7.0","1.0","4555","M_murein5p4p_c","0.0","false","M_murein5p4p_c","133.0","1.0","0.0","0.01988558|-6.5346","false","0.0","M_murein5p4p_c","M_murein5p4p_c","0.0","M_murein5p4p_c"
"3.3285899094437257","0.0","0.3004275165176836","0.0","7.0","1.0","4552","M_murein4px4p_c","0.0","false","M_murein4px4p_c","133.0","1.0","0.0","0.02293684|-7.2875","false","0.0","M_murein4px4p_c","M_murein4px4p_c","0.0","M_murein4px4p_c"
"3.3285899094437257","0.0","0.3004275165176836","0.0","7.0","1.0","4549","M_halipa_c","0.0","false","M_halipa_c","133.0","1.0","0.0","0.0067150135|18.584","false","0.0","M_halipa_c","M_halipa_c","0.0","M_halipa_c"
"2.7115135834411386","0.0","0.3687977099236641","0.0","6.0","1.0","4546","M_sbt__D_c","0.0","false","M_sbt__D_c","401.0","1.0","0.0","0.26126265|-3.5854","false","0.0","M_sbt__D_c","M_sbt__D_c","0.0","M_sbt__D_c"
"2.7115135834411386","0.0","0.3687977099236641","0.0","6.0","1.0","4543","M_clpn160_c","0.0","false","M_clpn160_c","401.0","1.0","0.0","0.02574346|20.1857","false","0.0","M_clpn160_c","M_clpn160_c","0.0","M_clpn160_c"
"2.7115135834411386","0.0","0.3687977099236641","0.0","6.0","1.0","4540","M_cm_c","0.0","false","M_cm_c","401.0","1.0","0.0","0.24239102|1.7493","false","0.0","M_cm_c","M_cm_c","0.0","M_cm_c"
"2.7115135834411386","0.0","0.3687977099236641","0.0","6.0","1.0","4537","M_clpn181_c","0.0","false","M_clpn181_c","401.0","1.0","0.0","0.0195556776|22.4105","false","0.0","M_clpn181_c","M_clpn181_c","0.0","M_clpn181_c"
"2.7115135834411386","0.0","0.3687977099236641","0.0","6.0","1.0","4534","M_clpn161_c","0.0","false","M_clpn161_c","401.0","1.0","0.0","0.01955572|19.2897","false","0.0","M_clpn161_c","M_clpn161_c","0.0","M_clpn161_c"
"2.7115135834411386","0.0","0.3687977099236641","0.0","6.0","1.0","4531","M_acolipa_c","0.0","false","M_acolipa_c","401.0","1.0","0.0","0.00671360865|-14.1931","false","0.0","M_acolipa_c","M_acolipa_c","0.0","M_acolipa_c"
"2.7115135834411386","0.0","0.3687977099236641","0.0","6.0","1.0","4528","M_doxrbcn_c","0.0","false","M_doxrbcn_c","401.0","1.0","0.0","0.22100248|-0.7155","false","0.0","M_doxrbcn_c","M_doxrbcn_c","0.0","M_doxrbcn_c"
"2.7115135834411386","0.0","0.3687977099236641","0.0","6.0","1.0","4525","M_1agpg140_c","0.0","false","M_1agpg140_c","401.0","1.0","0.0","0.1348897|2.4464","false","0.0","M_1agpg140_c","M_1agpg140_c","0.0","M_1agpg140_c"
"2.7115135834411386","0.0","0.3687977099236641","0.0","6.0","1.0","4522","M_tyrp_c","0.0","false","M_tyrp_c","401.0","1.0","0.0","0.59178149|-1.8542","false","0.0","M_tyrp_c","M_tyrp_c","0.0","M_tyrp_c"
"2.7115135834411386","0.0","0.3687977099236641","0.0","6.0","1.0","4519","M_23cgmp_c","0.0","false","M_23cgmp_c","401.0","1.0","0.0","0.45200768|-1.91343","false","0.0","M_23cgmp_c","M_23cgmp_c","0.0","M_23cgmp_c"
"2.7115135834411386","0.0","0.3687977099236641","0.0","6.0","1.0","4516","M_eca4und_c","0.0","false","M_eca4und_c","401.0","1.0","0.0","0.01772286|1.4369","false","0.0","M_eca4und_c","M_eca4und_c","0.0","M_eca4und_c"
"2.7115135834411386","0.0","0.3687977099236641","0.0","6.0","1.0","4513","M_eca2und_c","0.0","false","M_eca2und_c","401.0","1.0","0.0","0.01170039|8.7427","false","0.0","M_eca2und_c","M_eca2und_c","0.0","M_eca2und_c"
"3.6584734799482534","0.0","0.27333804809052337","0.0","7.0","1.0","4510","M_acmum_c","0.0","false","M_acmum_c","92.0","1.0","0.0","0.31009588|-2.9376","false","0.0","M_acmum_c","M_acmum_c","0.0","M_acmum_c"
